logA,H_star,x,beta,T0
-25.000000,158491.870776,0.020000,0.070707,400.000000
-14.685623,158491.872467,0.066976,0.050000,400.000000
-24.185531,158491.870958,0.020000,0.115520,400.000000
-25.000000,158491.870642,0.020000,0.121850,400.000000
-25.000000,158491.870780,0.020000,0.076145,400.000000
-25.000000,158491.870540,0.020000,0.131482,400.000000
-24.576918,158491.870884,0.020000,0.102531,400.000000
-22.851316,158491.871143,0.020000,0.276547,400.000000
-23.233100,158491.871132,0.020000,0.199363,400.000000
-23.332320,158491.871194,0.020000,0.229149,400.000000
-23.329331,158491.871151,0.020000,0.175039,400.000000
-23.378628,158491.871135,0.020000,0.180800,400.000000
-23.718077,158491.871035,0.020000,0.137971,400.000000
-24.058011,158491.870983,0.020000,0.100193,400.000000
-25.000000,158491.870563,0.020000,0.122070,400.000000
-25.000000,158491.870778,0.020000,0.087047,400.000000
-24.072240,158491.871081,0.020000,0.132219,400.000000
-25.000000,158491.870694,0.020000,0.118197,400.000000
-20.271427,158491.912658,0.056680,0.531026,400.000000
-20.551352,158491.871467,0.051575,0.900000,400.000000
-23.833466,158491.871022,0.020000,0.138883,400.000000
-23.114594,158491.871368,0.020000,0.292185,400.000000
-23.751689,158491.871050,0.020000,0.142324,400.000000
-23.531457,158491.871066,0.020000,0.150788,400.000000
-24.200207,158491.871106,0.020000,0.121789,400.000000
-24.655591,158491.870895,0.020000,0.093078,400.000000
-24.800596,158491.870893,0.020000,0.050000,400.000000
-23.992431,158491.870990,0.020000,0.109988,400.000000
-23.332659,158491.871077,0.020000,0.261601,400.000000
-24.732787,158491.870845,0.020000,0.094849,400.000000
-25.000000,158491.869040,0.624623,0.191857,399.999971
-25.000000,158491.870850,0.020000,0.106284,400.000000
-23.478816,158491.871115,0.020000,0.246149,400.000000
-24.957428,158491.870803,0.020000,0.081084,400.000000
