t_s,Tf_K
53.42293300,386.84186735
54.04216421,386.81645760
54.66857300,386.79102874
55.30224256,386.76558283
55.94325706,386.74012193
56.59170163,386.71464810
57.24766240,386.68916336
57.91122648,386.66366978
58.58248200,386.63816939
59.26151812,386.61266421
59.94842503,386.58715629
60.64329395,386.56164762
61.34621718,386.53614024
62.05728807,386.51063614
62.77660106,386.48513733
63.50425169,386.45964580
64.24033659,386.43416353
64.98495354,386.40869250
65.73820143,386.38323468
66.50018030,386.35779202
67.27099136,386.33236649
68.05073697,386.30696001
68.83952070,386.28157453
69.63744731,386.25621196
70.44462277,386.23087423
71.26115430,386.20556322
72.08715034,386.18028084
72.92272059,386.15502896
73.76797603,386.12980947
74.62302891,386.10462420
75.48799282,386.07947503
76.36298261,386.05436377
77.24811451,386.02929226
78.14350608,386.00426230
79.04927623,385.97927570
79.96554526,385.95433425
80.89243487,385.92943972
81.83006816,385.90459386
82.77856966,385.87979844
83.73806535,385.85505518
84.70868267,385.83036580
85.69055051,385.80573202
86.68379930,385.78115552
87.68856095,385.75663799
88.70496890,385.73218109
89.73315815,385.70778646
90.77326525,385.68345575
91.82542836,385.65919057
92.88978720,385.63499253
93.96648315,385.61086322
95.05565920,385.58680421
96.15746001,385.56281706
97.27203192,385.53890332
98.39952296,385.51506451
99.54008288,385.49130213
100.69386315,385.46761769
101.86101702,385.44401267
103.04169950,385.42048851
104.23606740,385.39704667
105.44427935,385.37368858
106.66649583,385.35041565
107.90287915,385.32722926
109.15359353,385.30413080
110.41880509,385.28112162
111.69868185,385.25820307
112.99339380,385.23537646
114.30311291,385.21264311
115.62801312,385.19000430
116.96827040,385.16746130
118.32406275,385.14501537
119.69557024,385.12266773
121.08297502,385.10041961
122.48646138,385.07827220
123.90621569,385.05622668
125.34242655,385.03428421
126.79528468,385.01244592
128.26498305,384.99071296
129.75171687,384.96908641
131.25568358,384.94756736
132.77708294,384.92615688
134.31611700,384.90485602
135.87299019,384.88366580
137.44790927,384.86258723
139.04108341,384.84162131
140.65272421,384.82076900
142.28304572,384.80003125
143.93226447,384.77940900
145.60059950,384.75890316
147.28827239,384.73851462
148.99550729,384.71824425
150.72253093,384.69809291
152.46957270,384.67806142
154.23686463,384.65815062
156.02464144,384.63836128
157.83314057,384.61869419
159.66260221,384.59915009
161.51326935,384.57972974
163.38538778,384.56043383
165.27920615,384.54126306
167.19497597,384.52221812
169.13295170,384.50329965
171.09339073,384.48450829
173.07655342,384.46584467
175.08270317,384.44730936
177.11210643,384.42890296
179.16503274,384.41062602
181.24175474,384.39247906
183.34254826,384.37446262
185.46769231,384.35657718
187.61746914,384.33882322
189.79216428,384.32120121
191.99206656,384.30371156
194.21746815,384.28635471
196.46866462,384.26913105
198.74595496,384.25204096
201.04964163,384.23508479
203.38003058,384.21826288
205.73743134,384.20157555
208.12215700,384.18502311
210.53452428,384.16860581
212.97485357,384.15232394
215.44346900,384.13617771
217.94069843,384.12016737
220.46687352,384.10429310
223.02232980,384.08855508
225.60740665,384.07295349
228.22244742,384.05748846
230.86779942,384.04216011
233.54381399,384.02696854
236.25084655,384.01191386
238.98925662,383.99699611
241.75940792,383.98221535
244.56166835,383.96757160
247.39641009,383.95306487
250.26400964,383.93869516
253.16484786,383.92446243
256.09931003,383.91036665
259.06778587,383.89640774
262.07066965,383.88258561
265.10836019,383.86890018
268.18126095,383.85535132
271.28978004,383.84193889
274.43433032,383.82866273
277.61532944,383.81552268
280.83319988,383.80251854
284.08836902,383.78965010
287.38126919,383.77691713
290.71233773,383.76431940
294.08201706,383.75185664
297.49075472,383.73952857
300.93900344,383.72733490
304.42722121,383.71527532
307.95587129,383.70334950
311.52542236,383.69155709
315.13634849,383.67989773
318.78912927,383.66837105
322.48424984,383.65697665
326.22220097,383.64571413
330.00347911,383.63458305
333.82858647,383.62358298
337.69803108,383.61271346
341.61232686,383.60197402
345.57199368,383.59136418
349.57755744,383.58088343
353.62955014,383.57053125
357.72850994,383.56030712
361.87498124,383.55021050
366.06951476,383.54024081
370.31266759,383.53039750
374.60500327,383.52067997
378.94709191,383.51108762
383.33951018,383.50161984
387.78284146,383.49227601
392.27767589,383.48305548
