t_s,Tf_K
90.14776315,378.95341328
91.40310749,378.92111131
92.67593301,378.88877359
93.96648315,378.85640100
95.27500472,378.82399447
96.60174800,378.79155490
97.94696671,378.75908323
99.31091814,378.72658043
100.69386315,378.69404744
102.09606623,378.66148526
103.51779556,378.62889488
104.95932306,378.59627730
106.42092441,378.56363357
107.90287915,378.53096470
109.40547072,378.49827177
110.92898649,378.46555584
112.47371784,378.43281799
114.03996020,378.40005934
115.62801312,378.36728098
117.23818033,378.33448406
118.87076977,378.30166971
120.52609369,378.26883910
122.20446866,378.23599341
123.90621569,378.20313381
125.63166025,378.17026153
127.38113232,378.13737777
129.15496650,378.10448378
130.95350205,378.07158080
132.77708294,378.03867009
134.62605793,378.00575294
136.50078065,377.97283063
138.40160966,377.93990448
140.32890848,377.90697581
142.28304572,377.87404594
144.26439512,377.84111624
146.27333562,377.80818807
148.31025143,377.77526280
150.37553213,377.74234183
152.46957270,377.70942656
154.59277364,377.67651842
156.74554102,377.64361883
158.92828656,377.61072924
161.14142773,377.57785111
163.38538778,377.54498591
165.66059589,377.51213514
167.96748721,377.47930027
170.30650293,377.44648283
172.67809039,377.41368434
175.08270317,377.38090633
177.52080117,377.34815035
179.99285068,377.31541795
182.49932448,377.28271071
185.04070195,377.25003021
187.61746914,377.21737803
190.23011887,377.18475578
192.87915080,377.15216507
195.56507159,377.11960753
198.28839491,377.08708478
201.04964163,377.05459847
203.84933983,377.02215026
206.68802496,376.98974180
209.56623995,376.95737477
212.48453525,376.92505083
215.44346900,376.89277169
218.44360711,376.86053903
221.48552337,376.82835456
224.56979955,376.79621999
227.69702554,376.76413704
230.86779942,376.73210742
234.08272762,376.70013287
237.34242500,376.66821513
240.64751500,376.63635594
243.99862973,376.60455704
247.39641009,376.57282019
250.84150593,376.54114715
254.33457613,376.50953967
257.87628876,376.47799953
261.46732118,376.44652848
265.10836019,376.41512831
268.80010215,376.38380079
272.54325313,376.35254769
276.33852901,376.32137080
280.18665565,376.29027189
284.08836902,376.25925275
288.04441534,376.22831516
292.05555122,376.19746090
296.12254380,376.16669175
300.24617091,376.13600950
304.42722121,376.10541593
308.66649433,376.07491281
312.96480107,376.04450194
317.32296347,376.01418507
321.74181507,375.98396399
326.22220097,375.95384046
330.76497807,375.92381626
335.37101520,375.89389314
340.04119327,375.86407286
344.77640547,375.83435717
349.57755744,375.80474783
354.44556740,375.77524657
359.38136638,375.74585513
364.38589838,375.71657524
369.46012052,375.68740862
374.60500327,375.65835698
379.82153062,375.62942203
385.11070023,375.60060547
390.47352369,375.57190898
395.91102665,375.54333424
401.42424905,375.51488292
407.01424532,375.48655668
412.68208457,375.45835716
418.42885079,375.43028601
424.25564307,375.40234483
430.16357581,375.37453525
436.15377892,375.34685887
442.22739805,375.31931726
448.38559480,375.29191200
454.62954695,375.26464464
460.96044868,375.23751673
467.37951080,375.21052979
473.88796097,375.18368534
480.48704397,375.15698487
487.17802188,375.13042987
493.96217439,375.10402178
500.84079898,375.07776205
507.81521123,375.05165212
514.88674501,375.02569339
