t_s,Tf_K
183.34254826,384.55701768
185.46769231,384.53545721
187.61746914,384.51409035
189.79216428,384.49291672
191.99206656,384.47193593
194.21746815,384.45114757
196.46866462,384.43055122
198.74595496,384.41014646
201.04964163,384.38993284
203.38003058,384.36990991
205.73743134,384.35007720
208.12215700,384.33043425
210.53452428,384.31098056
212.97485357,384.29171563
215.44346900,384.27263895
217.94069843,384.25375000
220.46687352,384.23504824
223.02232980,384.21653313
225.60740665,384.19820410
228.22244742,384.18006059
230.86779942,384.16210202
233.54381399,384.14432779
236.25084655,384.12673730
238.98925662,384.10932992
241.75940792,384.09210504
244.56166835,384.07506201
247.39641009,384.05820018
250.26400964,384.04151889
253.16484786,384.02501746
256.09931003,384.00869521
259.06778587,383.99255144
262.07066965,383.97658544
265.10836019,383.96079649
268.18126095,383.94518387
271.28978004,383.92974682
274.43433032,383.91448460
277.61532944,383.89939644
280.83319988,383.88448156
284.08836902,383.86973919
287.38126919,383.85516852
290.71233773,383.84076874
294.08201706,383.82653904
297.49075472,383.81247859
300.93900344,383.79858655
304.42722121,383.78486207
307.95587129,383.77130428
311.52542236,383.75791233
315.13634849,383.74468532
318.78912927,383.73162237
322.48424984,383.71872258
326.22220097,383.70598504
330.00347911,383.69340882
333.82858647,383.68099300
337.69803108,383.66873664
341.61232686,383.65663879
345.57199368,383.64469850
349.57755744,383.63291479
353.62955014,383.62128670
357.72850994,383.60981323
361.87498124,383.59849341
366.06951476,383.58732621
370.31266759,383.57631064
374.60500327,383.56544568
378.94709191,383.55473030
383.33951018,383.54416347
387.78284146,383.53374414
392.27767589,383.52347127
396.82461046,383.51334380
401.42424905,383.50336067
406.07720257,383.49352080
410.78408900,383.48382313
415.54553347,383.47426655
420.36216838,383.46484999
425.23463345,383.45557235
430.16357581,383.44643251
435.14965009,383.43742938
440.19351852,383.42856184
445.29585099,383.41982876
450.45732518,383.41122903
455.67862658,383.40276150
460.96044868,383.39442504
466.30349297,383.38621851
471.70846909,383.37814076
477.17609489,383.37019065
482.70709656,383.36236701
488.30220869,383.35466869
493.96217439,383.34709453
499.68774539,383.33964336
505.47968212,383.33231401
511.33875384,383.32510530
517.26573872,383.31801607
523.26142395,383.31104513
529.32660584,383.30419130
535.46208993,383.29745340
541.66869110,383.29083024
547.94723369,383.28432064
554.29855157,383.27792340
560.72348829,383.27163734
567.22289716,383.26546127
573.79764142,383.25939398
580.44859428,383.25343430
587.17663907,383.24758102
593.98266939,383.24183295
600.86758917,383.23618891
607.83231283,383.23064768
614.87776538,383.22520808
622.00488256,383.21986892
629.21461096,383.21462901
636.50790813,383.20948715
643.88574272,383.20444216
651.34909463,383.19949284
658.89895508,383.19463801
666.53632681,383.18987649
674.26222418,383.18520710
682.07767329,383.18062865
689.98371214,383.17613996
697.98139078,383.17173987
706.07177141,383.16742720
714.25592855,383.16320079
722.53494918,383.15905946
730.90993286,383.15500207
739.38199192,383.15102745
747.95225156,383.14713444
756.62185005,383.14332192
765.39193882,383.13958871
774.26368268,383.13593370
783.23825992,383.13235575
792.31686249,383.12885372
801.50069616,383.12542650
810.79098067,383.12207297
