t_s,exp_50s_Jg,exp_500s_Jg,phenom_50s_Jg,phenom_500s_Jg,tnm_50s_Jg,tnm_500s_Jg
83.95578619995112,2.803793271811688,4.203279846200115,3.0650187616822513,4.253857210010347,2.7254091610063114,4.246357624730234
102.95755673125127,3.1020720206937087,4.387224566195273,3.2557502767899056,4.41429508850159,2.961182705628035,4.38555576882283
126.26001098748564,3.2208390298979634,4.477851047832368,3.449774961624447,4.585256043702812,3.214177471444211,4.535450254192906
154.8365256585499,3.36648665755314,4.588989083062992,3.6496952810305494,4.767107501540537,3.482851324052791,4.695236866317836
189.88078244652633,3.545098812424352,4.725281065845514,3.8519876062898724,4.955160912162008,3.764832264833506,4.863607973559533
232.85662984981965,3.7641363785099946,4.89242010633912,4.05691992850016,5.147402245010325,4.056840411106513,5.0386926352624695
285.5592301990109,4.032748866788388,5.097387840220426,4.262915290086916,5.339809462255865,4.354661655015617,5.2180256331351
350.1900461431713,4.362156603317469,5.348746061545412,4.467506708665764,5.527399516613159,4.653196196934484,5.398561283964084
429.4487988789272,4.766119418228556,5.656994361076536,4.671499584494497,5.708509917685515,4.946604449275352,5.576748469352199
526.6462393484276,5.138729405902694,5.945735947107471,4.8694512856838115,5.87531249117284,5.228567526177943,5.74868083059832
645.8424430196978,5.197416921589173,6.0102636095621,5.064897992259104,6.029951847659365,5.492668114102357,5.910329139222782
792.0164050192549,5.269387222853653,6.089395862008464,5.249443008809174,6.16285300926062,5.732878929150648,6.057850418994273
971.2740198471167,5.357646611643789,6.186438171291526,5.42952040920398,6.280426566278021,5.94412046602328,6.187950443079186
1191.103133283008,5.3718,6.202,5.594156101555455,6.373242517267909,6.122819953214764,6.298254697257199
1460.686320364989,5.3718,6.202,5.751490574113194,6.450155439462571,6.2673756030216285,6.387622622086225
1791.2844546220022,5.3718,6.202,5.891966558295776,6.506146996535547,6.3784150841018805,6.456328997376951
2196.7070907932352,5.3718,6.202,6.021719310365097,6.54829911864915,6.4587486907505545,6.506044702055205
2693.88930959017,5.3718,6.202,6.134819750398604,6.576342562427449,6.512968210550377,6.5395845451901184
3303.5991201283396,5.3718,6.202,6.234928062647867,6.5949712053297,6.54673245554512,6.560451064781407
4051.304969235378,5.3718,6.202,6.319781202295265,6.606106670749432,6.565887191163518,6.57227313743447
4968.2395947343875,5.3718,6.202,6.391154377613011,6.612415668325895,6.575643350173267,6.578285152743561
6092.704661368674,5.3718,6.202,6.449714068053114,6.615733825607429,6.580030977144399,6.580984458677309
7471.670675868082,5.3718,6.202,6.496055655369209,6.617269485422998,6.5817405135047,6.58203445310232
9162.739011886732,5.3718,6.202,6.532664577554587,6.617961803808437,6.582305214125893,6.582380752912413
11236.548001387515,5.3718,6.202,6.559596026931806,6.618209626200484,6.582459495610623,6.582475231579284
13779.723598335568,5.3718,6.202,6.579952121127563,6.618302310145748,6.582493387456353,6.582495960389913
16898.497868124585,5.3718,6.202,6.593676132531808,6.6183262643123095,6.5824991833622,6.582499501513729
20723.146452190296,5.3718,6.202,6.603526623250808,6.61833339692032,6.582499926905977,6.582499955408977
25413.43036702639,5.3718,6.202,6.609511314193008,6.618334616994835,6.582499995487003,6.582499997247834
31165.2694492943,5.3718,6.202,6.613504519153027,6.618334887925032,6.582499999818438,6.582499999889288
38218.92620633123,5.3718,6.202,6.61572259943337,6.618334919697063,6.582499999995553,6.582499999997292
46869.04192314192,5.3718,6.202,6.617045849656323,6.618334924040737,6.582499999999934,6.582499999999956
57476.944248353466,5.3718,6.202,6.617717354934362,6.618334924390449,6.5825,6.5825
70485.74036451904,5.3718,6.202,6.618064374127896,6.618334924414294,6.5825,6.5825
86438.82620598261,5.3718,6.202,6.618223195154144,6.618334924415552,6.5825,6.5825
106002.58488068824,5.3718,6.202,6.618292180704136,6.618334924415587,6.5825,6.5825
129994.22244132448,5.3718,6.202,6.61832022279777,6.618334924415588,6.5825,6.5825
159415.90374559996,5.3718,6.202,6.618330099921079,6.618334924415588,6.5825,6.5825
195496.61430912596,5.3718,6.202,6.61833360071792,6.618334924415588,6.5825,6.5825
239743.49678010785,5.3718,6.202,6.6183345590150315,6.618334924415588,6.5825,6.5825
294004.80643347075,5.3718,6.202,6.618334848609413,6.618334924415588,6.5825,6.5825
360547.1154250506,5.3718,6.202,6.618334907194472,6.618334924415588,6.5825,6.5825
442149.9907374487,5.3718,6.202,6.6183349218853875,6.618334924415588,6.5825,6.5825
542222.1006501592,5.3718,6.202,6.618334923954461,6.618334924415588,6.5825,6.5825
664943.5996665045,5.3718,6.202,6.618334924365978,6.618334924415588,6.5825,6.5825
815440.739518517,5.3718,6.202,6.6183349244093,6.618334924415588,6.5825,6.5825
1000000.0,5.3718,6.202,6.618334924415077,6.618334924415588,6.5825,6.5825
